discounts,offer,offerer,responder,response
"[1, 1]",0.01,4,2,counter
"[1, 1]",0.5,8,9,reject
"[1, 1]",0.01,0,1,counter
"[1, 1]",0.01,5,3,reject
"[1, 1]",0.1,7,6,accept
"[0.9, 0.9]",0.745,2,4,counter
"[1, 0.9]",0.01,5,8,accept
"[0.9, 1]",0.5,9,1,accept
"[0.9, 0.9]",0.745,1,0,counter
"[0.9, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[0.81, 0.81]",0.01,4,2,counter
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.5,1,9,reject
"[0.81, 0.81]",0.36666666666666664,0,1,counter
"[0.9, 0.81]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[0.7290000000000001, 0.7290000000000001]",0.745,2,4,counter
"[0.9, 0.9]",0.01,5,8,accept
"[1, 0.9]",0.5,6,9,reject
"[0.7290000000000001, 0.7290000000000001]",0.5666666666666667,1,0,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[0.6561000000000001, 0.6561000000000001]",0.01,4,2,counter
"[1, 1]",0.5,8,5,counter
"[1, 0.81]",0.1,7,9,reject
"[0.6561000000000001, 0.6561000000000001]",0.33694444444444444,0,1,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[0.5904900000000002, 0.5904900000000002]",0.745,2,4,counter
"[0.9, 0.9]",0.01,5,8,accept
"[0.7290000000000001, 1]",0.5,9,2,accept
"[0.5904900000000002, 0.5904900000000002]",0.5815277777777778,1,0,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[0.5314410000000002, 0.5314410000000002]",0.01,4,2,counter
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.5,2,9,reject
"[0.5314410000000002, 0.5314410000000002]",0.3394212962962963,0,1,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[0.47829690000000014, 0.47829690000000014]",0.745,2,4,counter
"[0.9, 0.9]",0.01,5,8,accept
"[1, 0.9]",0.01,5,9,reject
"[0.47829690000000014, 0.47829690000000014]",0.5802893518518518,1,0,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[0.43046721000000016, 0.43046721000000016]",0.01,4,2,counter
"[1, 1]",0.5,8,5,counter
"[1, 0.81]",0.5,2,9,reject
"[0.43046721000000016, 0.43046721000000016]",0.25754822530864196,0,1,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[0.38742048900000015, 0.38742048900000015]",0.745,2,4,counter
"[0.9, 0.9]",0.01,5,8,accept
"[0.7290000000000001, 1]",0.5,9,3,accept
"[0.38742048900000015, 0.38742048900000015]",0.6212258873456791,1,0,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[0.34867844010000015, 0.34867844010000015]",0.01,4,2,counter
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,9,reject
"[0.34867844010000015, 0.34867844010000015]",0.3460376478909465,0,1,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[0.31381059609000017, 0.31381059609000017]",0.745,2,4,counter
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 1]",0.5,9,4,counter
"[0.31381059609000017, 0.31381059609000017]",0.5769811760545267,1,0,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[0.28242953648100017, 0.28242953648100017]",0.01,4,2,reject
"[1, 1]",0.5,8,5,counter
"[0.9, 0.81]",0.01,4,9,reject
"[0.28242953648100017, 0.28242953648100017]",0.3386635293424211,0,1,reject
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[0.25418658283290013, 1]",0.5,2,9,reject
"[0.9, 0.9]",0.01,5,8,accept
"[1, 0.81]",0.745,2,4,counter
"[0.25418658283290013, 1]",0.2764439215570702,0,2,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[0.9, 1]",0.5,9,0,counter
"[1, 1]",0.5,8,5,counter
"[0.7290000000000001, 0.9]",0.01,4,2,counter
"[0.9, 0.22876792454961012]",0.6117780392214649,2,0,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[0.9, 0.81]",0.40362967320357745,0,9,reject
"[0.9, 0.9]",0.01,5,8,accept
"[0.81, 0.6561000000000001]",0.745,2,4,counter
"[0.2058911320946491, 0.81]",0.40362967320357745,0,2,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[1, 0.7290000000000001]",0.5,8,9,reject
"[1, 1]",0.5,8,5,counter
"[0.5904900000000002, 0.7290000000000001]",0.01,4,2,counter
"[0.7290000000000001, 0.1853020188851842]",0.5481851633982113,2,0,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[1, 0.6561000000000001]",0.5,1,9,reject
"[0.9, 0.9]",0.01,5,8,accept
"[0.6561000000000001, 0.5314410000000002]",0.745,2,4,counter
"[0.16677181699666577, 0.6561000000000001]",0.39303086056636855,0,2,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[0.5904900000000002, 1]",0.5,9,3,accept
"[1, 1]",0.5,8,5,counter
"[0.47829690000000014, 0.5904900000000002]",0.01,4,2,counter
"[0.5904900000000002, 0.1500946352969992]",0.5534845697168157,2,0,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[1, 1]",0.1,3,9,reject
"[0.9, 0.9]",0.01,5,8,accept
"[0.5314410000000002, 0.43046721000000016]",0.745,2,4,counter
"[0.13508517176729928, 0.5314410000000002]",0.3939140949528026,0,2,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[1, 0.9]",0.01,5,9,reject
"[1, 1]",0.5,8,5,counter
"[0.38742048900000015, 0.47829690000000014]",0.01,4,2,counter
"[0.47829690000000014, 0.12157665459056936]",0.5530429525235987,2,0,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[1, 0.81]",0.5,2,9,reject
"[0.9, 0.9]",0.01,5,8,accept
"[0.43046721000000016, 0.34867844010000015]",0.745,2,4,counter
"[0.10941898913151243, 0.43046721000000016]",0.3121738254205998,0,2,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[1, 0.7290000000000001]",0.2945289709034333,0,9,reject
"[1, 1]",0.5,8,5,counter
"[0.31381059609000017, 0.38742048900000015]",0.01,4,2,counter
"[0.38742048900000015, 0.0984770902183612]",0.5939130872897,2,0,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[1, 0.6561000000000001]",0.01,5,9,reject
"[0.9, 0.9]",0.01,5,8,accept
"[0.34867844010000015, 0.28242953648100017]",0.745,2,4,counter
"[0.08862938119652508, 0.34867844010000015]",0.36640700969885553,0,2,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[1, 0.5904900000000002]",0.5,8,9,reject
"[1, 1]",0.5,8,5,counter
"[0.25418658283290013, 0.31381059609000017]",0.01,4,2,counter
"[0.31381059609000017, 0.07976644307687257]",0.5667964951505722,2,0,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[0.5314410000000002, 1]",0.5,9,3,accept
"[0.9, 0.9]",0.01,5,8,accept
"[0.28242953648100017, 0.22876792454961012]",0.745,2,4,counter
"[0.07178979876918531, 0.28242953648100017]",0.396132749191762,0,2,reject
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[1, 1]",0.1,3,9,reject
"[1, 1]",0.5,8,5,counter
"[0.2058911320946491, 0.25418658283290013]",0.01,4,2,reject
"[0.06461081889226679, 1]",0.3085221248652937,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[1, 0.9]",0.5,8,9,reject
"[0.9, 0.9]",0.01,5,8,accept
"[0.22876792454961012, 1]",0.5,2,3,accept
"[0.9, 0.05814973700304011]",0.01,4,0,accept
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[1, 0.81]",0.5,2,9,reject
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[1, 1]",0.20333333333333334,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[1, 0.7290000000000001]",0.5,8,9,reject
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 0.9]",0.7,2,3,accept
"[0.9, 0.9]",0.01,4,0,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[0.6561000000000001, 1]",0.5,9,2,accept
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[0.81, 0.81]",0.23666666666666666,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[1, 1]",0.5,2,9,reject
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 0.9]",0.7,2,3,accept
"[0.7290000000000001, 0.7290000000000001]",0.01,4,0,accept
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[1, 0.9]",0.23666666666666666,0,9,reject
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[1, 1]",0.23666666666666666,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[0.81, 1]",0.5,9,2,accept
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 0.9]",0.7,2,3,accept
"[0.9, 0.9]",0.01,4,0,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[1, 1]",0.5,2,9,reject
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[0.81, 0.81]",0.23666666666666666,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[0.9, 1]",0.5,9,1,accept
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 0.9]",0.7,2,3,accept
"[0.7290000000000001, 0.7290000000000001]",0.01,4,0,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[1, 1]",0.5,1,9,reject
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[0.6561000000000001, 0.6561000000000001]",0.23666666666666666,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[0.9, 1]",0.5,9,6,accept
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 0.9]",0.7,2,3,accept
"[0.5904900000000002, 0.5904900000000002]",0.01,4,0,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[1, 1]",0.5,6,9,reject
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[0.5314410000000002, 0.5314410000000002]",0.23666666666666666,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[1, 0.9]",0.5,1,9,reject
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 0.9]",0.7,2,3,accept
"[0.47829690000000014, 0.47829690000000014]",0.01,4,0,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[1, 0.81]",0.1,7,9,reject
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[0.43046721000000016, 0.43046721000000016]",0.23666666666666666,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[1, 0.7290000000000001]",0.5,6,9,reject
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 0.9]",0.7,2,3,accept
"[0.38742048900000015, 0.38742048900000015]",0.01,4,0,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[1, 0.6561000000000001]",0.1,3,9,reject
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[0.34867844010000015, 0.34867844010000015]",0.23666666666666666,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[0.5904900000000002, 1]",0.5,9,7,accept
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 0.9]",0.7,2,3,accept
"[0.31381059609000017, 0.31381059609000017]",0.01,4,0,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[1, 1]",0.5,7,9,reject
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[0.28242953648100017, 0.28242953648100017]",0.23666666666666666,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[1, 0.9]",0.5,8,9,reject
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 0.9]",0.7,2,3,accept
"[0.25418658283290013, 0.25418658283290013]",0.01,4,0,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[0.81, 1]",0.5,9,2,accept
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[0.22876792454961012, 0.22876792454961012]",0.23666666666666666,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[1, 1]",0.5,2,9,reject
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 0.9]",0.7,2,3,accept
"[0.2058911320946491, 0.2058911320946491]",0.01,4,0,accept
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[0.9, 1]",0.5,9,5,counter
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[1, 1]",0.23666666666666666,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[0.9, 0.81]",0.01,5,9,reject
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 0.9]",0.7,2,3,accept
"[0.9, 0.9]",0.01,4,0,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[1, 0.7290000000000001]",0.5,1,9,reject
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[0.81, 0.81]",0.155,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[1, 0.6561000000000001]",0.01,5,9,reject
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 0.9]",0.7,2,3,accept
"[0.7290000000000001, 0.7290000000000001]",0.01,4,0,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[0.5904900000000002, 1]",0.5,9,2,accept
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[0.6561000000000001, 0.6561000000000001]",0.155,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[1, 1]",0.5,2,9,reject
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 0.9]",0.7,2,3,accept
"[0.5904900000000002, 0.5904900000000002]",0.01,4,0,accept
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[0.9, 1]",0.5,9,5,counter
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[1, 1]",0.23666666666666666,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[0.9, 0.81]",0.01,5,9,reject
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 0.9]",0.7,2,3,accept
"[0.9, 0.9]",0.01,4,0,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[0.7290000000000001, 1]",0.5,9,7,accept
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[0.81, 0.81]",0.155,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[1, 1]",0.5,7,9,reject
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 0.9]",0.7,2,3,accept
"[0.7290000000000001, 0.7290000000000001]",0.01,4,0,accept
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[0.9, 1]",0.5,9,1,accept
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[1, 1]",0.23666666666666666,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[1, 1]",0.5,1,9,reject
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 0.9]",0.7,2,3,accept
"[0.9, 0.9]",0.01,4,0,accept
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[0.9, 1]",0.5,9,0,accept
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[1, 1]",0.23666666666666666,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[1, 1]",0.3561111111111111,0,9,reject
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 0.9]",0.7,2,3,accept
"[0.9, 0.9]",0.01,4,0,accept
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[0.9, 1]",0.5,9,3,accept
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[1, 1]",0.21268518518518517,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[1, 1]",0.1,3,9,reject
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 0.9]",0.7,2,3,accept
"[0.9, 0.9]",0.01,4,0,accept
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[0.9, 1]",0.5,9,0,accept
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[1, 1]",0.16999999999999998,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[1, 1]",0.345,0,9,reject
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 0.9]",0.7,2,3,accept
"[0.9, 0.9]",0.01,4,0,accept
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[0.9, 1]",0.5,9,5,counter
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[1, 1]",0.21083333333333332,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[0.9, 0.81]",0.01,5,9,reject
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 0.9]",0.7,2,3,accept
"[0.9, 0.9]",0.01,4,0,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[0.7290000000000001, 1]",0.5,9,1,accept
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[0.81, 0.81]",0.155,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[1, 1]",0.5,1,9,reject
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 0.9]",0.7,2,3,accept
"[0.7290000000000001, 0.7290000000000001]",0.01,4,0,accept
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[1, 0.9]",0.01,4,9,reject
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[1, 1]",0.23666666666666666,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[0.81, 1]",0.5,9,3,accept
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 0.9]",0.7,2,3,accept
"[0.9, 0.9]",0.01,4,0,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[1, 1]",0.1,3,9,reject
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[0.81, 0.81]",0.23666666666666666,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[0.9, 1]",0.5,9,1,accept
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 0.9]",0.7,2,3,accept
"[0.7290000000000001, 0.7290000000000001]",0.01,4,0,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[1, 1]",0.5,1,9,reject
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[0.6561000000000001, 0.6561000000000001]",0.23666666666666666,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[0.9, 1]",0.5,9,7,accept
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 0.9]",0.7,2,3,accept
"[0.5904900000000002, 0.5904900000000002]",0.01,4,0,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[1, 1]",0.5,7,9,reject
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[0.5314410000000002, 0.5314410000000002]",0.23666666666666666,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[0.9, 1]",0.5,9,1,accept
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 0.9]",0.7,2,3,accept
"[0.47829690000000014, 0.47829690000000014]",0.01,4,0,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[1, 1]",0.5,1,9,reject
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[0.43046721000000016, 0.43046721000000016]",0.23666666666666666,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[1, 0.9]",0.1,3,9,reject
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 0.9]",0.7,2,3,accept
"[0.38742048900000015, 0.38742048900000015]",0.01,4,0,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[0.81, 1]",0.5,9,2,accept
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[0.34867844010000015, 0.34867844010000015]",0.16999999999999998,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[1, 1]",0.5,2,9,reject
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 0.9]",0.7,2,3,accept
"[0.31381059609000017, 0.31381059609000017]",0.01,4,0,accept
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[1, 0.9]",0.01,4,9,reject
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[1, 1]",0.23666666666666666,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[0.81, 1]",0.5,9,7,accept
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 0.9]",0.7,2,3,accept
"[0.9, 0.9]",0.01,4,0,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[1, 1]",0.5,7,9,reject
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[0.81, 0.81]",0.23666666666666666,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[1, 0.9]",0.1,3,9,reject
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 0.9]",0.7,2,3,accept
"[0.7290000000000001, 0.7290000000000001]",0.01,4,0,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[1, 0.81]",0.5,2,9,reject
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[0.6561000000000001, 0.6561000000000001]",0.16999999999999998,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[0.7290000000000001, 1]",0.5,9,1,accept
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 0.9]",0.7,2,3,accept
"[0.5904900000000002, 0.5904900000000002]",0.01,4,0,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[1, 1]",0.5,1,9,reject
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[0.5314410000000002, 0.5314410000000002]",0.23666666666666666,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[0.9, 1]",0.5,9,2,accept
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 0.9]",0.7,2,3,accept
"[0.47829690000000014, 0.47829690000000014]",0.01,4,0,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[1, 1]",0.5,2,9,reject
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[0.43046721000000016, 0.43046721000000016]",0.23666666666666666,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[1, 0.9]",0.01,4,9,reject
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 0.9]",0.7,2,3,accept
"[0.38742048900000015, 0.38742048900000015]",0.01,4,0,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[1, 0.81]",0.5,7,9,reject
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[0.34867844010000015, 0.34867844010000015]",0.155,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[1, 0.7290000000000001]",0.34249999999999997,0,9,reject
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 0.9]",0.7,2,3,accept
"[0.31381059609000017, 0.31381059609000017]",0.01,4,0,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[0.6561000000000001, 1]",0.5,9,8,accept
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[0.28242953648100017, 0.28242953648100017]",0.21041666666666667,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[1, 1]",0.5,8,9,reject
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 0.9]",0.7,2,3,accept
"[0.25418658283290013, 0.25418658283290013]",0.01,4,0,accept
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[1, 0.9]",0.5,1,9,reject
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[1, 1]",0.23666666666666666,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
"[1, 0.81]",0.01,5,9,reject
"[0.9, 0.9]",0.01,5,8,accept
"[0.9, 0.9]",0.7,2,3,accept
"[0.9, 0.9]",0.01,4,0,counter
"[1, 1]",0.1,3,1,counter
"[1, 1]",0.1,6,7,accept
"[1, 0.7290000000000001]",0.5,6,9,reject
"[1, 1]",0.5,8,5,counter
"[1, 1]",0.1,3,2,counter
"[0.81, 0.81]",0.155,0,4,counter
"[0.9, 0.9]",0.7,1,3,accept
"[1, 1]",0.1,7,6,accept
