discounts,num_players,odd_player,scores,avg_score_per_round,avg_score_per_offer,table_count,total_tables,round
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[13.259363313609466, 18.5, 12.060000000000004, 9.030636686390535, 17.028, 18.672000000000004, 17.55, 36.0, 18.5]","[0.3583611706380937, 0.5, 0.32594594594594606, 0.24407126179433877, 0.46021621621621617, 0.5046486486486488, 0.47432432432432436, 0.972972972972973, 0.5]","[0.17918058531904685, 0.4868421052631579, 0.3173684210526317, 0.2376483338523825, 0.44810526315789473, 0.24568421052631584, 0.4618421052631579, 0.4864864864864865, 0.4868421052631579]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[74, 38, 38, 38, 38, 76, 38, 74, 38]",37
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[13.259363313609466, 19.0, 12.060000000000004, 9.030636686390535, 17.028, 19.172000000000004, 18.05, 37.0, 19.0]","[0.3489306135160386, 0.5, 0.3173684210526317, 0.2376483338523825, 0.44810526315789473, 0.5045263157894738, 0.47500000000000003, 0.9736842105263158, 0.5]","[0.1744653067580193, 0.48717948717948717, 0.3092307692307693, 0.23155478683052655, 0.43661538461538457, 0.24579487179487186, 0.46282051282051284, 0.4868421052631579, 0.48717948717948717]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[76, 39, 39, 39, 39, 78, 39, 76, 39]",38
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[13.959286390532542, 19.5, 12.690000000000005, 9.500713609467459, 17.918999999999997, 19.681000000000004, 18.55, 38.0, 19.5]","[0.35793042027006516, 0.5, 0.3253846153846155, 0.24360804126839639, 0.45946153846153837, 0.5046410256410258, 0.47564102564102567, 0.9743589743589743, 0.5]","[0.17896521013503258, 0.4875, 0.31725000000000014, 0.23751784023668648, 0.4479749999999999, 0.24601250000000005, 0.46375, 0.48717948717948717, 0.4875]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[78, 40, 40, 40, 40, 80, 40, 78, 40]",39
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[13.959286390532542, 20.0, 12.690000000000005, 9.500713609467459, 17.918999999999997, 20.181000000000004, 19.05, 39.0, 20.0]","[0.34898215976331354, 0.5, 0.31725000000000014, 0.23751784023668648, 0.4479749999999999, 0.5045250000000001, 0.47625, 0.975, 0.5]","[0.17449107988165677, 0.4878048780487805, 0.30951219512195133, 0.23172472218213314, 0.4370487804878048, 0.24610975609756103, 0.46463414634146344, 0.4875, 0.4878048780487805]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[80, 41, 41, 41, 41, 82, 41, 80, 41]",40
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[14.659209467455618, 20.5, 13.320000000000006, 9.970790532544383, 18.809999999999995, 20.690000000000005, 19.55, 40.0, 20.5]","[0.3575416943281858, 0.5, 0.3248780487804879, 0.2431900129888874, 0.45878048780487796, 0.5046341463414635, 0.47682926829268296, 0.975609756097561, 0.5]","[0.1787708471640929, 0.4880952380952381, 0.3171428571428573, 0.23739977458439007, 0.44785714285714273, 0.24630952380952387, 0.4654761904761905, 0.4878048780487805, 0.4880952380952381]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[82, 42, 42, 42, 42, 84, 42, 82, 42]",41
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[14.659209467455618, 21.0, 13.320000000000006, 9.970790532544383, 18.809999999999995, 21.190000000000005, 20.05, 41.0, 21.0]","[0.34902879684418137, 0.5, 0.3171428571428573, 0.23739977458439007, 0.44785714285714273, 0.5045238095238096, 0.4773809523809524, 0.9761904761904762, 0.5]","[0.17451439842209068, 0.4883720930232558, 0.30976744186046523, 0.23187884959405541, 0.4374418604651162, 0.24639534883720937, 0.4662790697674419, 0.4880952380952381, 0.4883720930232558]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[84, 43, 43, 43, 43, 86, 43, 84, 43]",42
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[15.359132544378694, 21.5, 13.950000000000006, 10.440867455621307, 19.700999999999993, 21.699000000000005, 20.55, 42.0, 21.5]","[0.35718912893903937, 0.5, 0.32441860465116296, 0.24281087106096064, 0.45816279069767424, 0.5046279069767443, 0.4779069767441861, 0.9767441860465116, 0.5]","[0.17859456446951968, 0.48863636363636365, 0.3170454545454547, 0.23729244217321152, 0.44774999999999987, 0.24657954545454552, 0.46704545454545454, 0.4883720930232558, 0.48863636363636365]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[86, 44, 44, 44, 44, 88, 44, 86, 44]",43
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[15.359132544378694, 22.0, 13.950000000000006, 10.440867455621307, 19.700999999999993, 22.199000000000005, 21.05, 43.0, 22.0]","[0.34907119419042487, 0.5, 0.3170454545454547, 0.23729244217321152, 0.44774999999999987, 0.5045227272727274, 0.47840909090909095, 0.9772727272727273, 0.5]","[0.17453559709521244, 0.4888888888888889, 0.31000000000000016, 0.2320192767915846, 0.43779999999999986, 0.2466555555555556, 0.4677777777777778, 0.48863636363636365, 0.4888888888888889]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[88, 45, 45, 45, 45, 90, 45, 88, 45]",44
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[16.05905562130177, 22.5, 14.580000000000007, 10.91094437869823, 20.59199999999999, 22.708000000000006, 21.55, 44.0, 22.5]","[0.3568679026955949, 0.5, 0.3240000000000002, 0.24246543063773845, 0.45759999999999984, 0.5046222222222223, 0.4788888888888889, 0.9777777777777777, 0.5]","[0.17843395134779744, 0.4891304347826087, 0.3169565217391306, 0.23719444301517892, 0.4476521739130433, 0.2468260869565218, 0.46847826086956523, 0.4888888888888889, 0.4891304347826087]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[90, 46, 46, 46, 46, 92, 46, 90, 46]",45
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[16.05905562130177, 23.0, 14.580000000000007, 10.91094437869823, 20.59199999999999, 23.208000000000006, 22.05, 45.0, 23.0]","[0.34910990481090803, 0.5, 0.3169565217391306, 0.23719444301517892, 0.4476521739130433, 0.5045217391304349, 0.47934782608695653, 0.9782608695652174, 0.5]","[0.17455495240545402, 0.48936170212765956, 0.31021276595744696, 0.23214775273826022, 0.4381276595744679, 0.24689361702127666, 0.4691489361702128, 0.4891304347826087, 0.48936170212765956]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[92, 47, 47, 47, 47, 94, 47, 92, 47]",46
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[16.758978698224848, 23.5, 15.210000000000008, 11.381021301775155, 21.48299999999999, 23.717000000000006, 22.55, 46.0, 23.5]","[0.35657401485584783, 0.5, 0.3236170212765959, 0.24214938939947137, 0.4570851063829785, 0.5046170212765959, 0.4797872340425532, 0.9787234042553191, 0.5]","[0.17828700742792392, 0.4895833333333333, 0.3168750000000002, 0.23710461045364906, 0.4475624999999998, 0.2470520833333334, 0.46979166666666666, 0.48936170212765956, 0.4895833333333333]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[94, 48, 48, 48, 48, 96, 48, 94, 48]",47
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[16.758978698224848, 24.0, 15.210000000000008, 11.381021301775155, 21.48299999999999, 24.217000000000006, 23.05, 47.0, 24.0]","[0.349145389546351, 0.5, 0.3168750000000002, 0.23710461045364906, 0.4475624999999998, 0.5045208333333334, 0.48020833333333335, 0.9791666666666666, 0.5]","[0.1745726947731755, 0.4897959183673469, 0.3104081632653063, 0.23226574085255416, 0.4384285714285712, 0.24711224489795924, 0.47040816326530616, 0.4895833333333333, 0.4897959183673469]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[96, 49, 49, 49, 49, 98, 49, 96, 49]",48
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[17.458901775147925, 24.5, 15.840000000000009, 11.851098224852079, 22.373999999999988, 24.726000000000006, 23.55, 48.0, 24.5]","[0.35630411786016175, 0.5, 0.32326530612244914, 0.2418591474459608, 0.45661224489795893, 0.5046122448979593, 0.4806122448979592, 0.9795918367346939, 0.5]","[0.17815205893008088, 0.49, 0.3168000000000002, 0.23702196449704158, 0.44747999999999977, 0.24726000000000006, 0.47100000000000003, 0.4897959183673469, 0.49]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[98, 50, 50, 50, 50, 100, 50, 98, 50]",49
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[17.458901775147925, 25.0, 15.840000000000009, 11.851098224852079, 22.373999999999988, 25.226000000000006, 24.05, 49.0, 25.0]","[0.3491780355029585, 0.5, 0.3168000000000002, 0.23702196449704158, 0.44747999999999977, 0.5045200000000001, 0.48100000000000004, 0.98, 0.5]","[0.17458901775147925, 0.49019607843137253, 0.31058823529411783, 0.2323744749970996, 0.43870588235294095, 0.24731372549019615, 0.4715686274509804, 0.49, 0.49019607843137253]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[100, 51, 51, 51, 51, 102, 51, 100, 51]",50
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[18.158824852071003, 25.5, 16.47000000000001, 12.321175147929003, 23.264999999999986, 25.735000000000007, 24.55, 50.0, 25.5]","[0.35605538925629415, 0.5, 0.3229411764705884, 0.24159166956723535, 0.456176470588235, 0.504607843137255, 0.48137254901960785, 0.9803921568627451, 0.5]","[0.17802769462814708, 0.49038461538461536, 0.3167307692307694, 0.2369456759217116, 0.4474038461538459, 0.24745192307692315, 0.4721153846153846, 0.49019607843137253, 0.49038461538461536]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[102, 52, 52, 52, 52, 104, 52, 102, 52]",51
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[18.158824852071003, 26.0, 16.47000000000001, 12.321175147929003, 23.264999999999986, 26.235000000000007, 25.05, 51.0, 26.0]","[0.3492081702321347, 0.5, 0.3167307692307694, 0.2369456759217116, 0.4474038461538459, 0.5045192307692309, 0.48173076923076924, 0.9807692307692307, 0.5]","[0.17460408511606734, 0.49056603773584906, 0.3107547169811323, 0.23247500279111324, 0.43896226415094314, 0.24750000000000005, 0.47264150943396227, 0.49038461538461536, 0.49056603773584906]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[104, 53, 53, 53, 53, 106, 53, 104, 53]",52
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[18.85874792899408, 26.5, 17.10000000000001, 12.791252071005927, 24.155999999999985, 26.744000000000007, 25.55, 52.0, 26.5]","[0.3558254326225298, 0.5, 0.3226415094339624, 0.24134437869822503, 0.4557735849056601, 0.5046037735849058, 0.4820754716981132, 0.9811320754716981, 0.5]","[0.1779127163112649, 0.49074074074074076, 0.3166666666666668, 0.2368750383519616, 0.447333333333333, 0.2476296296296297, 0.47314814814814815, 0.49056603773584906, 0.49074074074074076]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[106, 54, 54, 54, 54, 108, 54, 106, 54]",53
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[18.85874792899408, 27.0, 17.10000000000001, 12.791252071005927, 24.155999999999985, 27.244000000000007, 26.05, 53.0, 27.0]","[0.34923607275914964, 0.5, 0.3166666666666668, 0.2368750383519616, 0.447333333333333, 0.5045185185185187, 0.4824074074074074, 0.9814814814814815, 0.5]","[0.17461803637957482, 0.4909090909090909, 0.3109090909090911, 0.23256821947283504, 0.4391999999999997, 0.24767272727272732, 0.47363636363636363, 0.49074074074074076, 0.4909090909090909]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[108, 55, 55, 55, 55, 110, 55, 108, 55]",54
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[19.55867100591716, 27.5, 17.730000000000008, 13.26132899408285, 25.046999999999983, 27.753000000000007, 26.55, 54.0, 27.5]","[0.3556122001075847, 0.5, 0.3223636363636365, 0.2411150726196882, 0.4553999999999997, 0.5046000000000002, 0.4827272727272727, 0.9818181818181818, 0.5]","[0.17780610005379235, 0.49107142857142855, 0.316607142857143, 0.23680944632290804, 0.44726785714285683, 0.24779464285714292, 0.4741071428571429, 0.4909090909090909, 0.49107142857142855]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[110, 56, 56, 56, 56, 112, 56, 110, 56]",55
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[19.55867100591716, 28.0, 17.730000000000008, 13.26132899408285, 25.046999999999983, 28.253000000000007, 27.05, 55.0, 28.0]","[0.3492619822485207, 0.5, 0.316607142857143, 0.23680944632290804, 0.44726785714285683, 0.5045178571428572, 0.4830357142857143, 0.9821428571428571, 0.5]","[0.17463099112426034, 0.49122807017543857, 0.3110526315789475, 0.23265489463303246, 0.43942105263157866, 0.2478333333333334, 0.47456140350877196, 0.49107142857142855, 0.49122807017543857]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[112, 57, 57, 57, 57, 114, 57, 112, 57]",56
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[20.258594082840236, 28.5, 18.360000000000007, 13.731405917159774, 25.93799999999998, 28.762000000000008, 27.55, 56.0, 28.5]","[0.3554139312778989, 0.5, 0.32210526315789484, 0.24090185819578552, 0.45505263157894704, 0.5045964912280703, 0.48333333333333334, 0.9824561403508771, 0.5]","[0.17770696563894944, 0.49137931034482757, 0.31655172413793115, 0.23674837788206507, 0.4472068965517238, 0.24794827586206902, 0.47500000000000003, 0.49122807017543857, 0.49137931034482757]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[114, 58, 58, 58, 58, 116, 58, 114, 58]",57
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[20.258594082840236, 29.0, 18.360000000000007, 13.731405917159774, 25.93799999999998, 29.262000000000008, 28.05, 57.0, 29.0]","[0.3492861048765558, 0.5, 0.31655172413793115, 0.23674837788206507, 0.4472068965517238, 0.5045172413793104, 0.4836206896551724, 0.9827586206896551, 0.5]","[0.1746430524382779, 0.4915254237288136, 0.3111864406779662, 0.23273569351118262, 0.43962711864406745, 0.2479830508474577, 0.4754237288135593, 0.49137931034482757, 0.4915254237288136]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[116, 59, 59, 59, 59, 118, 59, 116, 59]",58
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[20.958517159763314, 29.5, 18.990000000000006, 14.201482840236698, 26.82899999999998, 29.771000000000008, 28.55, 58.0, 29.5]","[0.35522910440276806, 0.5, 0.3218644067796611, 0.24070309898706269, 0.4547288135593217, 0.5045932203389832, 0.4838983050847458, 0.9830508474576272, 0.5]","[0.17761455220138403, 0.49166666666666664, 0.3165000000000001, 0.23669138067061163, 0.44714999999999966, 0.24809166666666674, 0.47583333333333333, 0.4915254237288136, 0.49166666666666664]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[118, 60, 60, 60, 60, 120, 60, 118, 60]",59
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[20.958517159763314, 30.0, 18.990000000000006, 14.201482840236698, 26.82899999999998, 30.271000000000008, 29.05, 59.0, 30.0]","[0.34930861932938856, 0.5, 0.3165000000000001, 0.23669138067061163, 0.44714999999999966, 0.5045166666666668, 0.4841666666666667, 0.9833333333333333, 0.5]","[0.17465430966469428, 0.4918032786885246, 0.31131147540983617, 0.23281119410224096, 0.4398196721311472, 0.2481229508196722, 0.47622950819672133, 0.49166666666666664, 0.4918032786885246]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[120, 61, 61, 61, 61, 122, 61, 120, 61]",60
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[21.658440236686392, 30.5, 19.620000000000005, 14.671559763313622, 27.719999999999978, 30.78000000000001, 29.55, 60.0, 30.5]","[0.35505639732272776, 0.5, 0.3216393442622952, 0.2405173731690758, 0.45442622950819633, 0.5045901639344264, 0.48442622950819675, 0.9836065573770492, 0.5]","[0.17752819866136388, 0.49193548387096775, 0.3164516129032259, 0.23663806069860682, 0.44709677419354804, 0.24822580645161296, 0.47661290322580646, 0.4918032786885246, 0.49193548387096775]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[122, 62, 62, 62, 62, 124, 62, 122, 62]",61
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[21.658440236686392, 31.0, 19.620000000000005, 14.671559763313622, 27.719999999999978, 31.28000000000001, 30.05, 61.0, 31.0]","[0.3493296812368773, 0.5, 0.3164516129032259, 0.23663806069860682, 0.44709677419354804, 0.5045161290322582, 0.4846774193548387, 0.9838709677419355, 0.5]","[0.17466484061843865, 0.49206349206349204, 0.3114285714285715, 0.23288190100497813, 0.43999999999999967, 0.2482539682539683, 0.476984126984127, 0.49193548387096775, 0.49206349206349204]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[124, 63, 63, 63, 63, 126, 63, 124, 63]",62
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[22.35836331360947, 31.5, 20.250000000000004, 15.141636686390546, 28.610999999999976, 31.78900000000001, 30.55, 62.0, 31.5]","[0.35489465577157886, 0.5, 0.3214285714285715, 0.2403434394665166, 0.45414285714285674, 0.5045873015873017, 0.4849206349206349, 0.9841269841269841, 0.5]","[0.17744732788578943, 0.4921875, 0.31640625000000006, 0.23658807322485229, 0.4470468749999996, 0.24835156250000007, 0.47734375, 0.49206349206349204, 0.4921875]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[126, 64, 64, 64, 64, 128, 64, 126, 64]",63
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[22.35836331360947, 32.0, 20.250000000000004, 15.141636686390546, 28.610999999999976, 32.28900000000001, 31.05, 63.0, 32.0]","[0.34934942677514796, 0.5, 0.31640625000000006, 0.23658807322485229, 0.4470468749999996, 0.5045156250000001, 0.48515625, 0.984375, 0.5]","[0.17467471338757398, 0.49230769230769234, 0.3115384615384616, 0.2329482567137007, 0.4401692307692304, 0.24837692307692313, 0.4776923076923077, 0.4921875, 0.49230769230769234]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[128, 65, 65, 65, 65, 130, 65, 128, 65]",64
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[23.058286390532547, 32.5, 20.880000000000003, 15.61171360946747, 29.501999999999974, 32.79800000000001, 31.55, 64.0, 32.5]","[0.35474286754665457, 0.5, 0.32123076923076926, 0.24018020937642262, 0.4538769230769227, 0.5045846153846155, 0.4853846153846154, 0.9846153846153847, 0.5]","[0.17737143377332729, 0.49242424242424243, 0.3163636363636364, 0.23654111529496166, 0.4469999999999996, 0.24846969696969703, 0.478030303030303, 0.49230769230769234, 0.49242424242424243]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[130, 66, 66, 66, 66, 132, 66, 130, 66]",65
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[23.058286390532547, 33.0, 20.880000000000003, 15.61171360946747, 29.501999999999974, 33.29800000000001, 32.05, 65.0, 33.0]","[0.3493679756141295, 0.5, 0.3163636363636364, 0.23654111529496166, 0.4469999999999996, 0.5045151515151517, 0.48560606060606054, 0.9848484848484849, 0.5]","[0.17468398780706476, 0.4925373134328358, 0.3116417910447762, 0.2330106508875742, 0.44032835820895483, 0.2484925373134329, 0.47835820895522385, 0.49242424242424243, 0.4925373134328358]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[132, 67, 67, 67, 67, 134, 67, 132, 67]",66
"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9]",9,5,"[23.758209467455625, 33.5, 21.51, 16.081790532544392, 30.392999999999972, 33.80700000000001, 32.55, 66.0, 33.5]","[0.3546001413053078, 0.5, 0.321044776119403, 0.2400267243663342, 0.4536268656716414, 0.5045820895522389, 0.485820895522388, 0.9850746268656716, 0.5]","[0.1773000706526539, 0.49264705882352944, 0.3163235294117647, 0.23649691959624106, 0.44695588235294076, 0.24858088235294123, 0.47867647058823526, 0.4925373134328358, 0.49264705882352944]","[2, 1, 1, 1, 1, 2, 1, 2, 1]","[134, 68, 68, 68, 68, 136, 68, 134, 68]",67
