round,offerer,responder,offer,response,discounts
1,4,5,0.01,accept,"[1, 1]"
1,8,1,0.5,accept,"[1, 1]"
1,5,7,0.5,accept,"[1, 1]"
1,2,6,0.1,accept,"[1, 1]"
1,0,3,0.5,accept,"[1, 1]"
2,5,4,0.5,counter,"[1, 1]"
2,1,8,0.5,accept,"[1, 1]"
2,7,5,0.5,accept,"[1, 1]"
2,6,2,0.1,reject,"[1, 1]"
2,3,0,0.322,counter,"[1, 1]"
3,4,5,0.01,accept,"[0.9, 0.9]"
3,8,1,0.5,accept,"[1, 1]"
3,5,7,0.5,accept,"[1, 1]"
3,6,7,0.5,accept,"[0.9, 1]"
3,0,2,0.5,accept,"[1, 0.9]"
3,0,3,0.589,accept,"[0.9, 0.9]"
4,5,4,0.5,counter,"[1, 1]"
4,1,8,0.5,accept,"[1, 1]"
4,7,5,0.5,accept,"[1, 1]"
4,7,6,0.5,accept,"[1, 1]"
4,2,0,0.1,counter,"[1, 1]"
4,3,0,0.43316666666666664,counter,"[1, 1]"
5,4,5,0.01,accept,"[0.9, 0.9]"
5,8,1,0.5,accept,"[1, 1]"
5,5,7,0.5,accept,"[1, 1]"
5,6,7,0.5,accept,"[1, 1]"
5,0,2,0.7,accept,"[0.9, 0.9]"
5,0,3,0.5334166666666667,accept,"[0.9, 0.9]"
6,5,4,0.5,counter,"[1, 1]"
6,1,8,0.5,accept,"[1, 1]"
6,7,5,0.5,accept,"[1, 1]"
6,7,6,0.5,accept,"[1, 1]"
6,2,0,0.1,counter,"[1, 1]"
6,3,0,0.4572361111111111,counter,"[1, 1]"
7,4,5,0.01,accept,"[0.9, 0.9]"
7,8,1,0.5,accept,"[1, 1]"
7,5,7,0.5,accept,"[1, 1]"
7,6,7,0.5,accept,"[1, 1]"
7,0,2,0.7,accept,"[0.9, 0.9]"
7,0,3,0.5213819444444444,accept,"[0.9, 0.9]"
8,5,4,0.5,counter,"[1, 1]"
8,1,8,0.5,accept,"[1, 1]"
8,7,5,0.5,accept,"[1, 1]"
8,7,6,0.5,accept,"[1, 1]"
8,2,0,0.1,counter,"[1, 1]"
8,3,0,0.45523032407407404,counter,"[1, 1]"
9,4,5,0.01,accept,"[0.9, 0.9]"
9,8,1,0.5,accept,"[1, 1]"
9,5,7,0.5,accept,"[1, 1]"
9,6,7,0.5,accept,"[1, 1]"
9,0,2,0.7,accept,"[0.9, 0.9]"
9,0,3,0.522384837962963,accept,"[0.9, 0.9]"
10,5,4,0.5,counter,"[1, 1]"
10,1,8,0.5,accept,"[1, 1]"
10,7,5,0.5,accept,"[1, 1]"
10,7,6,0.5,accept,"[1, 1]"
10,2,0,0.1,counter,"[1, 1]"
10,3,0,0.45539747299382716,counter,"[1, 1]"
11,4,5,0.01,accept,"[0.9, 0.9]"
11,8,1,0.5,accept,"[1, 1]"
11,5,7,0.5,accept,"[1, 1]"
11,6,7,0.5,accept,"[1, 1]"
11,0,2,0.7,accept,"[0.9, 0.9]"
11,0,3,0.5223012635030864,accept,"[0.9, 0.9]"
12,5,4,0.5,counter,"[1, 1]"
12,1,8,0.5,accept,"[1, 1]"
12,7,5,0.5,accept,"[1, 1]"
12,7,6,0.5,accept,"[1, 1]"
12,2,0,0.1,counter,"[1, 1]"
12,3,0,0.45538354391718106,counter,"[1, 1]"
13,4,5,0.01,accept,"[0.9, 0.9]"
13,8,1,0.5,accept,"[1, 1]"
13,5,7,0.5,accept,"[1, 1]"
13,6,7,0.5,accept,"[1, 1]"
13,0,2,0.7,accept,"[0.9, 0.9]"
13,0,3,0.5223082280414095,accept,"[0.9, 0.9]"
14,5,4,0.5,counter,"[1, 1]"
14,1,8,0.5,accept,"[1, 1]"
14,7,5,0.5,accept,"[1, 1]"
14,7,6,0.5,accept,"[1, 1]"
14,2,0,0.1,counter,"[1, 1]"
14,3,0,0.45538470467356823,counter,"[1, 1]"
15,4,5,0.01,accept,"[0.9, 0.9]"
15,8,1,0.5,accept,"[1, 1]"
15,5,7,0.5,accept,"[1, 1]"
15,6,7,0.5,accept,"[1, 1]"
15,0,2,0.7,accept,"[0.9, 0.9]"
15,0,3,0.5223076476632159,accept,"[0.9, 0.9]"
16,5,4,0.5,counter,"[1, 1]"
16,1,8,0.5,accept,"[1, 1]"
16,7,5,0.5,accept,"[1, 1]"
16,7,6,0.5,accept,"[1, 1]"
16,2,0,0.1,counter,"[1, 1]"
16,3,0,0.4553846079438693,counter,"[1, 1]"
17,4,5,0.01,accept,"[0.9, 0.9]"
17,8,1,0.5,accept,"[1, 1]"
17,5,7,0.5,accept,"[1, 1]"
17,6,7,0.5,accept,"[1, 1]"
17,0,2,0.7,accept,"[0.9, 0.9]"
17,0,3,0.5223076960280654,accept,"[0.9, 0.9]"
18,5,4,0.5,counter,"[1, 1]"
18,1,8,0.5,accept,"[1, 1]"
18,7,5,0.5,accept,"[1, 1]"
18,7,6,0.5,accept,"[1, 1]"
18,2,0,0.1,counter,"[1, 1]"
18,3,0,0.45538461600467756,counter,"[1, 1]"
19,4,5,0.01,accept,"[0.9, 0.9]"
19,8,1,0.5,accept,"[1, 1]"
19,5,7,0.5,accept,"[1, 1]"
19,6,7,0.5,accept,"[1, 1]"
19,0,2,0.7,accept,"[0.9, 0.9]"
19,0,3,0.5223076919976612,accept,"[0.9, 0.9]"
20,5,4,0.5,counter,"[1, 1]"
20,1,8,0.5,accept,"[1, 1]"
20,7,5,0.5,accept,"[1, 1]"
20,7,6,0.5,accept,"[1, 1]"
20,2,0,0.1,counter,"[1, 1]"
20,3,0,0.45538461533294355,counter,"[1, 1]"
21,4,5,0.01,accept,"[0.9, 0.9]"
21,8,1,0.5,accept,"[1, 1]"
21,5,7,0.5,accept,"[1, 1]"
21,6,7,0.5,accept,"[1, 1]"
21,0,2,0.7,accept,"[0.9, 0.9]"
21,0,3,0.5223076923335283,accept,"[0.9, 0.9]"
22,5,4,0.5,counter,"[1, 1]"
22,1,8,0.5,accept,"[1, 1]"
22,7,5,0.5,accept,"[1, 1]"
22,7,6,0.5,accept,"[1, 1]"
22,2,0,0.1,counter,"[1, 1]"
22,3,0,0.4553846153889214,counter,"[1, 1]"
23,4,5,0.01,accept,"[0.9, 0.9]"
23,8,1,0.5,accept,"[1, 1]"
23,5,7,0.5,accept,"[1, 1]"
23,6,7,0.5,accept,"[1, 1]"
23,0,2,0.7,accept,"[0.9, 0.9]"
23,0,3,0.5223076923055393,accept,"[0.9, 0.9]"
24,5,4,0.5,counter,"[1, 1]"
24,1,8,0.5,accept,"[1, 1]"
24,7,5,0.5,accept,"[1, 1]"
24,7,6,0.5,accept,"[1, 1]"
24,2,0,0.1,counter,"[1, 1]"
24,3,0,0.45538461538425656,counter,"[1, 1]"
25,4,5,0.01,accept,"[0.9, 0.9]"
25,8,1,0.5,accept,"[1, 1]"
25,5,7,0.5,accept,"[1, 1]"
25,6,7,0.5,accept,"[1, 1]"
25,0,2,0.7,accept,"[0.9, 0.9]"
25,0,3,0.5223076923078718,accept,"[0.9, 0.9]"
26,5,4,0.5,counter,"[1, 1]"
26,1,8,0.5,accept,"[1, 1]"
26,7,5,0.5,accept,"[1, 1]"
26,7,6,0.5,accept,"[1, 1]"
26,2,0,0.1,counter,"[1, 1]"
26,3,0,0.4553846153846453,counter,"[1, 1]"
27,4,5,0.01,accept,"[0.9, 0.9]"
27,8,1,0.5,accept,"[1, 1]"
27,5,7,0.5,accept,"[1, 1]"
27,6,7,0.5,accept,"[1, 1]"
27,0,2,0.7,accept,"[0.9, 0.9]"
27,0,3,0.5223076923076774,accept,"[0.9, 0.9]"
28,5,4,0.5,counter,"[1, 1]"
28,1,8,0.5,accept,"[1, 1]"
28,7,5,0.5,accept,"[1, 1]"
28,7,6,0.5,accept,"[1, 1]"
28,2,0,0.1,counter,"[1, 1]"
28,3,0,0.4553846153846129,counter,"[1, 1]"
29,4,5,0.01,accept,"[0.9, 0.9]"
29,8,1,0.5,accept,"[1, 1]"
29,5,7,0.5,accept,"[1, 1]"
29,6,7,0.5,accept,"[1, 1]"
29,0,2,0.7,accept,"[0.9, 0.9]"
29,0,3,0.5223076923076936,accept,"[0.9, 0.9]"
30,5,4,0.5,counter,"[1, 1]"
30,1,8,0.5,accept,"[1, 1]"
30,7,5,0.5,accept,"[1, 1]"
30,7,6,0.5,accept,"[1, 1]"
30,2,0,0.1,counter,"[1, 1]"
30,3,0,0.4553846153846156,counter,"[1, 1]"
31,4,5,0.01,accept,"[0.9, 0.9]"
31,8,1,0.5,accept,"[1, 1]"
31,5,7,0.5,accept,"[1, 1]"
31,6,7,0.5,accept,"[1, 1]"
31,0,2,0.7,accept,"[0.9, 0.9]"
31,0,3,0.5223076923076921,accept,"[0.9, 0.9]"
32,5,4,0.5,counter,"[1, 1]"
32,1,8,0.5,accept,"[1, 1]"
32,7,5,0.5,accept,"[1, 1]"
32,7,6,0.5,accept,"[1, 1]"
32,2,0,0.1,counter,"[1, 1]"
32,3,0,0.45538461538461533,counter,"[1, 1]"
33,4,5,0.01,accept,"[0.9, 0.9]"
33,8,1,0.5,accept,"[1, 1]"
33,5,7,0.5,accept,"[1, 1]"
33,6,7,0.5,accept,"[1, 1]"
33,0,2,0.7,accept,"[0.9, 0.9]"
33,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
34,5,4,0.5,counter,"[1, 1]"
34,1,8,0.5,accept,"[1, 1]"
34,7,5,0.5,accept,"[1, 1]"
34,7,6,0.5,accept,"[1, 1]"
34,2,0,0.1,counter,"[1, 1]"
34,3,0,0.4553846153846154,counter,"[1, 1]"
35,4,5,0.01,accept,"[0.9, 0.9]"
35,8,1,0.5,accept,"[1, 1]"
35,5,7,0.5,accept,"[1, 1]"
35,6,7,0.5,accept,"[1, 1]"
35,0,2,0.7,accept,"[0.9, 0.9]"
35,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
36,5,4,0.5,counter,"[1, 1]"
36,1,8,0.5,accept,"[1, 1]"
36,7,5,0.5,accept,"[1, 1]"
36,7,6,0.5,accept,"[1, 1]"
36,2,0,0.1,counter,"[1, 1]"
36,3,0,0.4553846153846154,counter,"[1, 1]"
37,4,5,0.01,accept,"[0.9, 0.9]"
37,8,1,0.5,accept,"[1, 1]"
37,5,7,0.5,accept,"[1, 1]"
37,6,7,0.5,accept,"[1, 1]"
37,0,2,0.7,accept,"[0.9, 0.9]"
37,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
38,5,4,0.5,counter,"[1, 1]"
38,1,8,0.5,accept,"[1, 1]"
38,7,5,0.5,accept,"[1, 1]"
38,7,6,0.5,accept,"[1, 1]"
38,2,0,0.1,counter,"[1, 1]"
38,3,0,0.4553846153846154,counter,"[1, 1]"
39,4,5,0.01,accept,"[0.9, 0.9]"
39,8,1,0.5,accept,"[1, 1]"
39,5,7,0.5,accept,"[1, 1]"
39,6,7,0.5,accept,"[1, 1]"
39,0,2,0.7,accept,"[0.9, 0.9]"
39,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
40,5,4,0.5,counter,"[1, 1]"
40,1,8,0.5,accept,"[1, 1]"
40,7,5,0.5,accept,"[1, 1]"
40,7,6,0.5,accept,"[1, 1]"
40,2,0,0.1,counter,"[1, 1]"
40,3,0,0.4553846153846154,counter,"[1, 1]"
41,4,5,0.01,accept,"[0.9, 0.9]"
41,8,1,0.5,accept,"[1, 1]"
41,5,7,0.5,accept,"[1, 1]"
41,6,7,0.5,accept,"[1, 1]"
41,0,2,0.7,accept,"[0.9, 0.9]"
41,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
42,5,4,0.5,counter,"[1, 1]"
42,1,8,0.5,accept,"[1, 1]"
42,7,5,0.5,accept,"[1, 1]"
42,7,6,0.5,accept,"[1, 1]"
42,2,0,0.1,counter,"[1, 1]"
42,3,0,0.4553846153846154,counter,"[1, 1]"
43,4,5,0.01,accept,"[0.9, 0.9]"
43,8,1,0.5,accept,"[1, 1]"
43,5,7,0.5,accept,"[1, 1]"
43,6,7,0.5,accept,"[1, 1]"
43,0,2,0.7,accept,"[0.9, 0.9]"
43,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
44,5,4,0.5,counter,"[1, 1]"
44,1,8,0.5,accept,"[1, 1]"
44,7,5,0.5,accept,"[1, 1]"
44,7,6,0.5,accept,"[1, 1]"
44,2,0,0.1,counter,"[1, 1]"
44,3,0,0.4553846153846154,counter,"[1, 1]"
45,4,5,0.01,accept,"[0.9, 0.9]"
45,8,1,0.5,accept,"[1, 1]"
45,5,7,0.5,accept,"[1, 1]"
45,6,7,0.5,accept,"[1, 1]"
45,0,2,0.7,accept,"[0.9, 0.9]"
45,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
46,5,4,0.5,counter,"[1, 1]"
46,1,8,0.5,accept,"[1, 1]"
46,7,5,0.5,accept,"[1, 1]"
46,7,6,0.5,accept,"[1, 1]"
46,2,0,0.1,counter,"[1, 1]"
46,3,0,0.4553846153846154,counter,"[1, 1]"
47,4,5,0.01,accept,"[0.9, 0.9]"
47,8,1,0.5,accept,"[1, 1]"
47,5,7,0.5,accept,"[1, 1]"
47,6,7,0.5,accept,"[1, 1]"
47,0,2,0.7,accept,"[0.9, 0.9]"
47,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
48,5,4,0.5,counter,"[1, 1]"
48,1,8,0.5,accept,"[1, 1]"
48,7,5,0.5,accept,"[1, 1]"
48,7,6,0.5,accept,"[1, 1]"
48,2,0,0.1,counter,"[1, 1]"
48,3,0,0.4553846153846154,counter,"[1, 1]"
49,4,5,0.01,accept,"[0.9, 0.9]"
49,8,1,0.5,accept,"[1, 1]"
49,5,7,0.5,accept,"[1, 1]"
49,6,7,0.5,accept,"[1, 1]"
49,0,2,0.7,accept,"[0.9, 0.9]"
49,0,3,0.5223076923076924,accept,"[0.9, 0.9]"
50,5,4,0.5,counter,"[1, 1]"
50,1,8,0.5,accept,"[1, 1]"
50,7,5,0.5,accept,"[1, 1]"
50,7,6,0.5,accept,"[1, 1]"
50,2,0,0.1,counter,"[1, 1]"
50,3,0,0.4553846153846154,counter,"[1, 1]"
51,4,5,0.01,accept,"[0.9, 0.9]"
